S1,S2,S3,S4,S5,PM2.5,0.3,0.5,1,2.5
0.001488428,2.086923276,1.041432414,0.331973586,4.28E-05,28.86333333,3463.452986,999.221875,158.4627778,10.90673611
7.57E-05,3.979277851,0.333473795,0.269885165,0.010724377,18.86916667,2516.881944,715.5441667,90.22708333,5.685972222
0.985803172,2.26E-08,0.998423094,9.96E-12,0.559836056,21.73694444,3139.824167,885.0731944,94.54125,5.055763889
2.831673385,2.187825853,0.036088909,0.845563557,0.051357184,18.695625,2595.871181,737.3304167,96.85708333,7.566944444
2.86563646,3.25E-17,9.17E-05,6.65E-26,2.94E-15,40.01263889,4908.774514,1425.103819,236.2751389,17.92020833
0.000149084,8.001976013,0.518824857,2.13900079,3.14E-09,36.23520833,4345.224861,1247.736806,194.1553472,15.18930556
4.693203579,6.36E-59,3.85E-22,2.32E-71,2.93E-74,45.62972222,6152.153681,1783.067361,311.5907639,27.45243056
0.094412661,9.372692687,2.75544342,1.120716968,5.16E-05,45.55923611,6182.032986,1801.446111,341.3897222,31.71159722
1.225849298,2.798792694,4.974026278,0.000597882,0.04205751,51.34159722,7506.011319,2174.848681,347.3015972,25.50638889
5.165202731,1.13E-43,3.38E-06,1.05E-62,1.48E-50,5.753333333,820.4380556,233.0333333,32.32979167,2.715625
0.659849894,1.356535495,4.217191639,5.08E-05,1.462983709,24.08097222,3039.2175,856.6261806,96.665625,5.786805556
1.417530581,5.21E-16,1.773281884,1.18E-17,7.11E-15,20.81881944,2427.343472,703.8611111,124.1588194,13.21444444
2.06E-10,4.03E-08,6.827287985,0.003858039,4.21E-12,10.45722222,1319.355139,371.3283333,38.81402778,2.054027778
1.31E-07,0.000109212,6.838896504,0.615523532,6.97E-12,10.52388889,1402.525278,396.4482639,46.56701389,2.853263889
3.78E-10,1.03E-15,3.536860278,1.61E-20,2.35E-07,2.812167832,525.915035,147.6581119,14.4551049,0.923566434
0.34004253,0.004114374,3.511769422,0.593399035,9.73E-15,18.05826389,2123.400694,611.251875,101.0946528,8.522222222
2.648619924,2.05E-25,0.000917129,6.70E-22,2.52E-42,19.47923611,2236.269375,631.7244444,74.61548611,4.907291667
2.76E-12,0.000104089,4.544956191,1.073935647,1.08E-22,32.10583333,3719.233056,1059.050278,142.2745139,10.46715278
6.69E-05,0.730744031,3.603080906,0.364183333,1.35E-13,16.44548611,1948.848681,552.3185417,68.13076389,4.351388889
9.97E-09,0.366127241,8.791117389,1.391071789,6.70E-15,6.903541667,934.9520833,264.1271528,29.63715278,1.753194444
4.35E-05,2.426402404,4.774641873,1.595047531,2.73E-08,43.93472222,5180.81375,1508.450972,282.7252778,25.98951389
3.08E-05,6.23E-05,11.7965891,0.61075837,7.41E-15,25.76923611,2517.350278,730.2664583,129.5668056,10.58291667
0.001811397,0.000459043,3.406281202,1.055947141,0.953188082,32.12652778,3505.027222,991.9928472,123.0261111,8.238611111
1.71E-10,2.43E-12,6.148816809,0.002178629,1.28E-14,28.72180556,3128.981944,902.6613194,149.7318056,12.29708333
0.000335157,4.299880604,4.615968551,1.69E-09,1.80E-05,42.62847222,5000.551319,1444.506875,228.6925,15.88479167
2.492541343,0.147937774,2.595510002,0.861268359,0.099963199,0.956111111,258.9884722,71.29277778,7.482152778,0.655277778
0.03054316,1.544749439,4.775801502,1.663832913,0.049594473,46.885625,5345.258125,1542.480417,249.2792361,19.04743056
2.328227789,1.77E-12,0.098605142,2.52E-23,1.610312085,24.46909722,2779.875347,803.0097917,133.6908333,11.08395833
0.00118389,0.310221593,4.977821957,0.152204214,8.80E-05,25.65784722,2992.008403,855.0561806,120.708125,8.04625
4.810364199,1.34E-05,0.281265582,7.86E-12,2.98E-05,37.70798611,4678.993056,1348.381944,205.0765972,14.15506944
7.269638083,5.88E-05,0.081345437,1.27E-14,0.777102235,32.93486111,3785.761736,1091.618194,175.5804167,13.3975
2.726542385,1.04E-23,2.304164928,1.64E-32,2.44E-29,18.56291667,2242.952917,641.3841667,92.68944444,6.311805556
7.81E-07,0.00835834,3.635484516,1.007093181,0.622939138,21.43402778,2650.767708,758.1545139,105.0933333,6.569513889
4.102070433,0.282005795,0.884533225,1.419712204,0.001770382,2.882222222,484.4126389,136.3913194,20.72701389,2.189722222
